('n hdbs', 8499)
('adress', 'ADMIRALTY DR 353A', 'lease_commence_date', '2002', 'ntransactions', 43)
('adress', 'ADMIRALTY LINK 489', 'lease_commence_date', '2010', 'ntransactions', 13)
('adress', 'ADMIRALTY LINK 490', 'lease_commence_date', '2010', 'ntransactions', 13)
('adress', 'ADMIRALTY LINK 491', 'lease_commence_date', '2004', 'ntransactions', 68)
('adress', 'ADMIRALTY LINK 492', 'lease_commence_date', '2004', 'ntransactions', 52)
('adress', 'ADMIRALTY LINK 493', 'lease_commence_date', '2004', 'ntransactions', 49)
('adress', 'AH HOOD RD 101', 'lease_commence_date', '1981', 'ntransactions', 38)
('adress', 'AH HOOD RD 103', 'lease_commence_date', '1981', 'ntransactions', 24)
('adress', 'ALJUNIED CRES 101', 'lease_commence_date', '1978', 'ntransactions', 105)
('adress', 'ALJUNIED CRES 102', 'lease_commence_date', '1978', 'ntransactions', 67)
('adress', 'ALJUNIED CRES 104', 'lease_commence_date', '1978', 'ntransactions', 35)
('adress', 'ALJUNIED CRES 105', 'lease_commence_date', '1979', 'ntransactions', 26)
('adress', 'ALJUNIED CRES 106', 'lease_commence_date', '1979', 'ntransactions', 82)
('adress', 'ALJUNIED CRES 107', 'lease_commence_date', '1981', 'ntransactions', 31)
('adress', 'ALJUNIED CRES 108', 'lease_commence_date', '1981', 'ntransactions', 72)
('adress', 'ALJUNIED CRES 109', 'lease_commence_date', '1986', 'ntransactions', 119)
('adress', 'ALJUNIED CRES 110', 'lease_commence_date', '1980', 'ntransactions', 35)
('adress', 'ALJUNIED CRES 111', 'lease_commence_date', '1978', 'ntransactions', 64)
('adress', 'ALJUNIED CRES 112', 'lease_commence_date', '1980', 'ntransactions', 57)
('adress', 'ALJUNIED CRES 95', 'lease_commence_date', '1975', 'ntransactions', 92)
('adress', 'ALJUNIED CRES 96', 'lease_commence_date', '1979', 'ntransactions', 29)
('adress', 'ALJUNIED CRES 97', 'lease_commence_date', '1975', 'ntransactions', 75)
('adress', 'ALJUNIED CRES 98', 'lease_commence_date', '1975', 'ntransactions', 69)
('adress', 'ALJUNIED CRES 99', 'lease_commence_date', '1978', 'ntransactions', 84)
('adress', 'ALJUNIED RD 125', 'lease_commence_date', '1983', 'ntransactions', 30)
('adress', 'ALJUNIED RD 126', 'lease_commence_date', '1983', 'ntransactions', 32)
('adress', 'ANCHORVALE DR 301A', 'lease_commence_date', '2001', 'ntransactions', 22)
('adress', 'ANCHORVALE DR 301B', 'lease_commence_date', '2001', 'ntransactions', 33)
('adress', 'ANCHORVALE DR 301C', 'lease_commence_date', '2001', 'ntransactions', 45)
('adress', 'ANCHORVALE DR 301D', 'lease_commence_date', '2001', 'ntransactions', 31)
('adress', 'ANCHORVALE DR 319A', 'lease_commence_date', '2002', 'ntransactions', 32)
('adress', 'ANCHORVALE DR 319B', 'lease_commence_date', '2002', 'ntransactions', 50)
('adress', 'ANCHORVALE DR 319C', 'lease_commence_date', '2002', 'ntransactions', 53)
('adress', 'ANCHORVALE DR 320A', 'lease_commence_date', '2002', 'ntransactions', 23)
('adress', 'ANCHORVALE DR 320B', 'lease_commence_date', '2002', 'ntransactions', 28)
('adress', 'ANCHORVALE DR 320C', 'lease_commence_date', '2002', 'ntransactions', 16)
('adress', 'ANCHORVALE DR 320D', 'lease_commence_date', '2002', 'ntransactions', 22)
('adress', 'ANCHORVALE DR 321A', 'lease_commence_date', '2002', 'ntransactions', 29)
('adress', 'ANCHORVALE DR 321B', 'lease_commence_date', '2002', 'ntransactions', 43)
('adress', 'ANCHORVALE DR 321C', 'lease_commence_date', '2002', 'ntransactions', 33)
('adress', 'ANCHORVALE DR 322A', 'lease_commence_date', '2002', 'ntransactions', 50)
('adress', 'ANCHORVALE DR 322B', 'lease_commence_date', '2002', 'ntransactions', 22)
('adress', 'ANCHORVALE DR 322C', 'lease_commence_date', '2002', 'ntransactions', 20)
('adress', 'ANCHORVALE LANE 311A', 'lease_commence_date', '2002', 'ntransactions', 41)
('adress', 'ANCHORVALE LANE 311B', 'lease_commence_date', '2002', 'ntransactions', 43)
('adress', 'ANCHORVALE LANE 311C', 'lease_commence_date', '2002', 'ntransactions', 38)
('adress', 'ANCHORVALE LANE 311D', 'lease_commence_date', '2002', 'ntransactions', 42)
('adress', 'ANCHORVALE LANE 312A', 'lease_commence_date', '2002', 'ntransactions', 30)
('adress', 'ANCHORVALE LANE 312B', 'lease_commence_date', '2002', 'ntransactions', 44)
('adress', 'ANCHORVALE LINK 302A', 'lease_commence_date', '2001', 'ntransactions', 29)
('adress', 'ANCHORVALE LINK 302B', 'lease_commence_date', '2007', 'ntransactions', 22)
('adress', 'ANCHORVALE LINK 302C', 'lease_commence_date', '2001', 'ntransactions', 12)
('adress', 'ANCHORVALE LINK 302D', 'lease_commence_date', '2001', 'ntransactions', 12)
('adress', 'ANCHORVALE LINK 303A', 'lease_commence_date', '2001', 'ntransactions', 47)
('adress', 'ANCHORVALE LINK 303B', 'lease_commence_date', '2001', 'ntransactions', 84)
('adress', 'ANCHORVALE LINK 303C', 'lease_commence_date', '2001', 'ntransactions', 72)
('adress', 'ANCHORVALE LINK 304A', 'lease_commence_date', '2002', 'ntransactions', 44)
('adress', 'ANCHORVALE LINK 304B', 'lease_commence_date', '2001', 'ntransactions', 33)
('adress', 'ANCHORVALE LINK 305A', 'lease_commence_date', '2002', 'ntransactions', 36)
('adress', 'ANCHORVALE LINK 305B', 'lease_commence_date', '2001', 'ntransactions', 32)
('adress', 'ANCHORVALE LINK 305C', 'lease_commence_date', '2001', 'ntransactions', 45)
('adress', 'ANCHORVALE LINK 305D', 'lease_commence_date', '2002', 'ntransactions', 36)
('adress', 'ANCHORVALE LINK 306A', 'lease_commence_date', '2002', 'ntransactions', 34)
('adress', 'ANCHORVALE LINK 306B', 'lease_commence_date', '2001', 'ntransactions', 17)
('adress', 'ANCHORVALE LINK 306C', 'lease_commence_date', '2002', 'ntransactions', 59)
('adress', 'ANCHORVALE LINK 314A', 'lease_commence_date', '2003', 'ntransactions', 32)
('adress', 'ANCHORVALE LINK 314B', 'lease_commence_date', '2003', 'ntransactions', 32)
('adress', 'ANCHORVALE LINK 314C', 'lease_commence_date', '2003', 'ntransactions', 31)
('adress', 'ANCHORVALE LINK 314D', 'lease_commence_date', '2003', 'ntransactions', 24)
('adress', 'ANCHORVALE LINK 316A', 'lease_commence_date', '2003', 'ntransactions', 30)
('adress', 'ANCHORVALE LINK 316B', 'lease_commence_date', '2003', 'ntransactions', 24)
('adress', 'ANCHORVALE LINK 316C', 'lease_commence_date', '2003', 'ntransactions', 36)
('adress', 'ANCHORVALE LINK 318A', 'lease_commence_date', '2003', 'ntransactions', 26)
('adress', 'ANCHORVALE LINK 318B', 'lease_commence_date', '2003', 'ntransactions', 31)
('adress', 'ANCHORVALE LINK 318C', 'lease_commence_date', '2003', 'ntransactions', 37)
('adress', 'ANCHORVALE LINK 318D', 'lease_commence_date', '2003', 'ntransactions', 27)
('adress', 'ANCHORVALE RD 307A', 'lease_commence_date', '2001', 'ntransactions', 30)
('adress', 'ANCHORVALE RD 307B', 'lease_commence_date', '2001', 'ntransactions', 16)
('adress', 'ANCHORVALE RD 307C', 'lease_commence_date', '2001', 'ntransactions', 43)
('adress', 'ANCHORVALE RD 307D', 'lease_commence_date', '2001', 'ntransactions', 45)
('adress', 'ANCHORVALE RD 308A', 'lease_commence_date', '2002', 'ntransactions', 46)
('adress', 'ANCHORVALE RD 308B', 'lease_commence_date', '2001', 'ntransactions', 46)
('adress', 'ANCHORVALE RD 308C', 'lease_commence_date', '2002', 'ntransactions', 45)
('adress', 'ANCHORVALE RD 309A', 'lease_commence_date', '2002', 'ntransactions', 44)
('adress', 'ANCHORVALE RD 309B', 'lease_commence_date', '2002', 'ntransactions', 44)
('adress', 'ANCHORVALE RD 309C', 'lease_commence_date', '2002', 'ntransactions', 45)
('adress', 'ANCHORVALE RD 309D', 'lease_commence_date', '2002', 'ntransactions', 34)
('adress', 'ANCHORVALE RD 310A', 'lease_commence_date', '2003', 'ntransactions', 28)
('adress', 'ANCHORVALE RD 310B', 'lease_commence_date', '2003', 'ntransactions', 32)
('adress', 'ANCHORVALE RD 313A', 'lease_commence_date', '2003', 'ntransactions', 20)
('adress', 'ANCHORVALE RD 313B', 'lease_commence_date', '2003', 'ntransactions', 45)
('adress', 'ANCHORVALE RD 313C', 'lease_commence_date', '2003', 'ntransactions', 39)
('adress', 'ANCHORVALE RD 313D', 'lease_commence_date', '2003', 'ntransactions', 20)
('adress', 'ANCHORVALE RD 315A', 'lease_commence_date', '2003', 'ntransactions', 27)
('adress', 'ANCHORVALE RD 315B', 'lease_commence_date', '2003', 'ntransactions', 26)
('adress', 'ANCHORVALE RD 315C', 'lease_commence_date', '2003', 'ntransactions', 32)
('adress', 'ANCHORVALE RD 317A', 'lease_commence_date', '2003', 'ntransactions', 32)
('adress', 'ANCHORVALE RD 317B', 'lease_commence_date', '2003', 'ntransactions', 43)
('adress', 'ANCHORVALE RD 317C', 'lease_commence_date', '2003', 'ntransactions', 33)
('adress', 'ANCHORVALE RD 317D', 'lease_commence_date', '2003', 'ntransactions', 33)
('adress', 'ANG MO KIO AVE 1 205', 'lease_commence_date', '1977', 'ntransactions', 34)
('adress', 'ANG MO KIO AVE 1 207', 'lease_commence_date', '1976', 'ntransactions', 28)
('adress', 'ANG MO KIO AVE 1 208', 'lease_commence_date', '1976', 'ntransactions', 47)
('adress', 'ANG MO KIO AVE 1 215', 'lease_commence_date', '1976', 'ntransactions', 67)
('adress', 'ANG MO KIO AVE 1 216', 'lease_commence_date', '1976', 'ntransactions', 82)
('adress', 'ANG MO KIO AVE 1 218', 'lease_commence_date', '1976', 'ntransactions', 84)
('adress', 'ANG MO KIO AVE 1 219', 'lease_commence_date', '1977', 'ntransactions', 75)
('adress', 'ANG MO KIO AVE 1 220', 'lease_commence_date', '1977', 'ntransactions', 67)
('adress', 'ANG MO KIO AVE 1 221', 'lease_commence_date', '1993', 'ntransactions', 39)
('adress', 'ANG MO KIO AVE 1 222', 'lease_commence_date', '1993', 'ntransactions', 34)
('adress', 'ANG MO KIO AVE 1 223', 'lease_commence_date', '1978', 'ntransactions', 87)
('adress', 'ANG MO KIO AVE 1 225', 'lease_commence_date', '1978', 'ntransactions', 98)
('adress', 'ANG MO KIO AVE 1 226', 'lease_commence_date', '1978', 'ntransactions', 30)
('adress', 'ANG MO KIO AVE 1 226B', 'lease_commence_date', '1994', 'ntransactions', 1)
('adress', 'ANG MO KIO AVE 1 303', 'lease_commence_date', '1977', 'ntransactions', 46)
('adress', 'ANG MO KIO AVE 1 304', 'lease_commence_date', '1977', 'ntransactions', 43)
('adress', 'ANG MO KIO AVE 1 305', 'lease_commence_date', '1977', 'ntransactions', 40)
('adress', 'ANG MO KIO AVE 1 306', 'lease_commence_date', '1977', 'ntransactions', 46)
('adress', 'ANG MO KIO AVE 1 307A', 'lease_commence_date', '2012', 'ntransactions', 1)
('adress', 'ANG MO KIO AVE 1 308A', 'lease_commence_date', '2012', 'ntransactions', 2)
('adress', 'ANG MO KIO AVE 1 308B', 'lease_commence_date', '2012', 'ntransactions', 1)
('adress', 'ANG MO KIO AVE 1 310A', 'lease_commence_date', '2012', 'ntransactions', 1)
('adress', 'ANG MO KIO AVE 1 310B', 'lease_commence_date', '2012', 'ntransactions', 2)
('adress', 'ANG MO KIO AVE 1 310C', 'lease_commence_date', '2012', 'ntransactions', 2)
('adress', 'ANG MO KIO AVE 1 319', 'lease_commence_date', '1977', 'ntransactions', 93)
('adress', 'ANG MO KIO AVE 1 320', 'lease_commence_date', '1977', 'ntransactions', 66)
('adress', 'ANG MO KIO AVE 1 321', 'lease_commence_date', '1977', 'ntransactions', 68)
('adress', 'ANG MO KIO AVE 1 330', 'lease_commence_date', '1981', 'ntransactions', 113)
('adress', 'ANG MO KIO AVE 1 331', 'lease_commence_date', '1981', 'ntransactions', 142)
('adress', 'ANG MO KIO AVE 1 332', 'lease_commence_date', '1981', 'ntransactions', 123)
('adress', 'ANG MO KIO AVE 1 333', 'lease_commence_date', '1981', 'ntransactions', 102)
('adress', 'ANG MO KIO AVE 1 334', 'lease_commence_date', '1982', 'ntransactions', 31)
('adress', 'ANG MO KIO AVE 1 335', 'lease_commence_date', '1982', 'ntransactions', 31)
('adress', 'ANG MO KIO AVE 1 336', 'lease_commence_date', '1982', 'ntransactions', 41)
('adress', 'ANG MO KIO AVE 1 337', 'lease_commence_date', '1982', 'ntransactions', 32)
('adress', 'ANG MO KIO AVE 1 338', 'lease_commence_date', '1981', 'ntransactions', 2)
('adress', 'ANG MO KIO AVE 1 340', 'lease_commence_date', '1981', 'ntransactions', 3)
('adress', 'ANG MO KIO AVE 10 401', 'lease_commence_date', '1979', 'ntransactions', 34)
('adress', 'ANG MO KIO AVE 10 402', 'lease_commence_date', '1979', 'ntransactions', 23)
('adress', 'ANG MO KIO AVE 10 403', 'lease_commence_date', '1979', 'ntransactions', 60)
('adress', 'ANG MO KIO AVE 10 404', 'lease_commence_date', '1979', 'ntransactions', 53)
('adress', 'ANG MO KIO AVE 10 405', 'lease_commence_date', '1979', 'ntransactions', 80)
('adress', 'ANG MO KIO AVE 10 406', 'lease_commence_date', '1979', 'ntransactions', 43)
('adress', 'ANG MO KIO AVE 10 407', 'lease_commence_date', '1980', 'ntransactions', 1)
('adress', 'ANG MO KIO AVE 10 408', 'lease_commence_date', '1980', 'ntransactions', 4)
('adress', 'ANG MO KIO AVE 10 411', 'lease_commence_date', '1979', 'ntransactions', 19)
('adress', 'ANG MO KIO AVE 10 412', 'lease_commence_date', '1979', 'ntransactions', 38)
('adress', 'ANG MO KIO AVE 10 413', 'lease_commence_date', '1979', 'ntransactions', 38)
('adress', 'ANG MO KIO AVE 10 414', 'lease_commence_date', '1979', 'ntransactions', 47)
('adress', 'ANG MO KIO AVE 10 415', 'lease_commence_date', '1979', 'ntransactions', 80)
('adress', 'ANG MO KIO AVE 10 416', 'lease_commence_date', '1979', 'ntransactions', 83)
('adress', 'ANG MO KIO AVE 10 417', 'lease_commence_date', '1979', 'ntransactions', 125)
('adress', 'ANG MO KIO AVE 10 418', 'lease_commence_date', '1979', 'ntransactions', 124)
('adress', 'ANG MO KIO AVE 10 419', 'lease_commence_date', '1979', 'ntransactions', 98)
('adress', 'ANG MO KIO AVE 10 421', 'lease_commence_date', '1979', 'ntransactions', 96)
('adress', 'ANG MO KIO AVE 10 431', 'lease_commence_date', '1979', 'ntransactions', 39)
('adress', 'ANG MO KIO AVE 10 432', 'lease_commence_date', '1979', 'ntransactions', 52)
('adress', 'ANG MO KIO AVE 10 433', 'lease_commence_date', '1979', 'ntransactions', 65)
('adress', 'ANG MO KIO AVE 10 434', 'lease_commence_date', '1979', 'ntransactions', 61)
('adress', 'ANG MO KIO AVE 10 435', 'lease_commence_date', '1979', 'ntransactions', 90)
('adress', 'ANG MO KIO AVE 10 436', 'lease_commence_date', '1979', 'ntransactions', 39)
('adress', 'ANG MO KIO AVE 10 437', 'lease_commence_date', '1979', 'ntransactions', 43)
('adress', 'ANG MO KIO AVE 10 438', 'lease_commence_date', '1979', 'ntransactions', 40)
('adress', 'ANG MO KIO AVE 10 439', 'lease_commence_date', '1979', 'ntransactions', 54)
('adress', 'ANG MO KIO AVE 10 440', 'lease_commence_date', '1979', 'ntransactions', 104)
('adress', 'ANG MO KIO AVE 10 441', 'lease_commence_date', '1979', 'ntransactions', 84)
('adress', 'ANG MO KIO AVE 10 442', 'lease_commence_date', '1979', 'ntransactions', 120)
('adress', 'ANG MO KIO AVE 10 443', 'lease_commence_date', '1979', 'ntransactions', 112)
('adress', 'ANG MO KIO AVE 10 444', 'lease_commence_date', '1979', 'ntransactions', 124)
('adress', 'ANG MO KIO AVE 10 445', 'lease_commence_date', '1979', 'ntransactions', 125)
('adress', 'ANG MO KIO AVE 10 446', 'lease_commence_date', '1979', 'ntransactions', 15)
('adress', 'ANG MO KIO AVE 10 447', 'lease_commence_date', '1979', 'ntransactions', 15)
('adress', 'ANG MO KIO AVE 10 448', 'lease_commence_date', '1979', 'ntransactions', 13)
('adress', 'ANG MO KIO AVE 10 449', 'lease_commence_date', '1979', 'ntransactions', 15)
('adress', 'ANG MO KIO AVE 10 450', 'lease_commence_date', '1979', 'ntransactions', 19)
('adress', 'ANG MO KIO AVE 10 451', 'lease_commence_date', '1979', 'ntransactions', 4)
('adress', 'ANG MO KIO AVE 10 452', 'lease_commence_date', '1979', 'ntransactions', 20)
('adress', 'ANG MO KIO AVE 10 453', 'lease_commence_date', '1979', 'ntransactions', 7)
('adress', 'ANG MO KIO AVE 10 456', 'lease_commence_date', '1980', 'ntransactions', 85)
('adress', 'ANG MO KIO AVE 10 457', 'lease_commence_date', '1980', 'ntransactions', 120)
('adress', 'ANG MO KIO AVE 10 458', 'lease_commence_date', '1980', 'ntransactions', 50)
('adress', 'ANG MO KIO AVE 10 459', 'lease_commence_date', '1980', 'ntransactions', 43)
('adress', 'ANG MO KIO AVE 10 460', 'lease_commence_date', '1980', 'ntransactions', 45)
('adress', 'ANG MO KIO AVE 10 461', 'lease_commence_date', '1980', 'ntransactions', 70)
('adress', 'ANG MO KIO AVE 10 462', 'lease_commence_date', '1980', 'ntransactions', 72)
('adress', 'ANG MO KIO AVE 10 463', 'lease_commence_date', '1980', 'ntransactions', 127)
('adress', 'ANG MO KIO AVE 10 464', 'lease_commence_date', '1980', 'ntransactions', 15)
('adress', 'ANG MO KIO AVE 10 465', 'lease_commence_date', '1980', 'ntransactions', 103)
('adress', 'ANG MO KIO AVE 10 466', 'lease_commence_date', '1984', 'ntransactions', 97)
('adress', 'ANG MO KIO AVE 10 467', 'lease_commence_date', '1979', 'ntransactions', 50)
('adress', 'ANG MO KIO AVE 10 468', 'lease_commence_date', '1979', 'ntransactions', 41)
('adress', 'ANG MO KIO AVE 10 470', 'lease_commence_date', '1979', 'ntransactions', 45)
('adress', 'ANG MO KIO AVE 10 471', 'lease_commence_date', '1979', 'ntransactions', 137)
('adress', 'ANG MO KIO AVE 10 472', 'lease_commence_date', '1979', 'ntransactions', 74)
('adress', 'ANG MO KIO AVE 10 473', 'lease_commence_date', '1984', 'ntransactions', 90)
('adress', 'ANG MO KIO AVE 10 474', 'lease_commence_date', '1984', 'ntransactions', 90)
('adress', 'ANG MO KIO AVE 10 475', 'lease_commence_date', '1979', 'ntransactions', 78)
('adress', 'ANG MO KIO AVE 10 476', 'lease_commence_date', '1979', 'ntransactions', 74)
('adress', 'ANG MO KIO AVE 10 530', 'lease_commence_date', '1980', 'ntransactions', 2)
('adress', 'ANG MO KIO AVE 10 532', 'lease_commence_date', '1980', 'ntransactions', 4)
('adress', 'ANG MO KIO AVE 10 534', 'lease_commence_date', '1980', 'ntransactions', 112)
('adress', 'ANG MO KIO AVE 10 536', 'lease_commence_date', '1980', 'ntransactions', 92)
('adress', 'ANG MO KIO AVE 10 539', 'lease_commence_date', '1980', 'ntransactions', 36)
('adress', 'ANG MO KIO AVE 10 540', 'lease_commence_date', '1981', 'ntransactions', 132)
('adress', 'ANG MO KIO AVE 10 541', 'lease_commence_date', '1981', 'ntransactions', 120)
('adress', 'ANG MO KIO AVE 10 542', 'lease_commence_date', '1981', 'ntransactions', 80)
('adress', 'ANG MO KIO AVE 10 543', 'lease_commence_date', '1981', 'ntransactions', 48)
('adress', 'ANG MO KIO AVE 10 544', 'lease_commence_date', '1981', 'ntransactions', 33)
('adress', 'ANG MO KIO AVE 10 545', 'lease_commence_date', '1981', 'ntransactions', 47)
('adress', 'ANG MO KIO AVE 10 546', 'lease_commence_date', '1981', 'ntransactions', 27)
('adress', 'ANG MO KIO AVE 10 547', 'lease_commence_date', '1981', 'ntransactions', 65)
('adress', 'ANG MO KIO AVE 10 548', 'lease_commence_date', '1981', 'ntransactions', 8)
('adress', 'ANG MO KIO AVE 10 549', 'lease_commence_date', '1981', 'ntransactions', 61)
('adress', 'ANG MO KIO AVE 10 550', 'lease_commence_date', '1981', 'ntransactions', 94)
('adress', 'ANG MO KIO AVE 10 551', 'lease_commence_date', '1981', 'ntransactions', 48)
('adress', 'ANG MO KIO AVE 10 552', 'lease_commence_date', '1980', 'ntransactions', 53)
('adress', 'ANG MO KIO AVE 10 553', 'lease_commence_date', '1980', 'ntransactions', 46)
('adress', 'ANG MO KIO AVE 10 554', 'lease_commence_date', '1981', 'ntransactions', 13)
('adress', 'ANG MO KIO AVE 10 555', 'lease_commence_date', '1980', 'ntransactions', 4)
('adress', 'ANG MO KIO AVE 10 556', 'lease_commence_date', '1980', 'ntransactions', 85)
('adress', 'ANG MO KIO AVE 10 557', 'lease_commence_date', '1980', 'ntransactions', 118)
('adress', 'ANG MO KIO AVE 10 558', 'lease_commence_date', '1980', 'ntransactions', 127)
('adress', 'ANG MO KIO AVE 10 559', 'lease_commence_date', '1980', 'ntransactions', 99)
('adress', 'ANG MO KIO AVE 10 560', 'lease_commence_date', '1980', 'ntransactions', 133)
('adress', 'ANG MO KIO AVE 10 561', 'lease_commence_date', '1980', 'ntransactions', 106)
('adress', 'ANG MO KIO AVE 10 575', 'lease_commence_date', '1980', 'ntransactions', 69)
('adress', 'ANG MO KIO AVE 10 576', 'lease_commence_date', '1980', 'ntransactions', 76)
('adress', 'ANG MO KIO AVE 10 577', 'lease_commence_date', '1980', 'ntransactions', 71)
('adress', 'ANG MO KIO AVE 10 578', 'lease_commence_date', '1980', 'ntransactions', 80)
('adress', 'ANG MO KIO AVE 2 248', 'lease_commence_date', '1978', 'ntransactions', 63)
('adress', 'ANG MO KIO AVE 2 259', 'lease_commence_date', '1982', 'ntransactions', 39)
('adress', 'ANG MO KIO AVE 3 101', 'lease_commence_date', '1978', 'ntransactions', 29)
('adress', 'ANG MO KIO AVE 3 102', 'lease_commence_date', '1993', 'ntransactions', 31)
('adress', 'ANG MO KIO AVE 3 103', 'lease_commence_date', '1978', 'ntransactions', 94)
('adress', 'ANG MO KIO AVE 3 119', 'lease_commence_date', '1978', 'ntransactions', 89)
('adress', 'ANG MO KIO AVE 3 120', 'lease_commence_date', '1978', 'ntransactions', 73)
('adress', 'ANG MO KIO AVE 3 121', 'lease_commence_date', '1978', 'ntransactions', 119)
('adress', 'ANG MO KIO AVE 3 122', 'lease_commence_date', '1978', 'ntransactions', 76)
('adress', 'ANG MO KIO AVE 3 126', 'lease_commence_date', '1978', 'ntransactions', 87)
('adress', 'ANG MO KIO AVE 3 127', 'lease_commence_date', '1978', 'ntransactions', 97)
('adress', 'ANG MO KIO AVE 3 128', 'lease_commence_date', '1978', 'ntransactions', 71)
('adress', 'ANG MO KIO AVE 3 129', 'lease_commence_date', '1979', 'ntransactions', 128)
('adress', 'ANG MO KIO AVE 3 130', 'lease_commence_date', '1979', 'ntransactions', 116)
('adress', 'ANG MO KIO AVE 3 131', 'lease_commence_date', '1979', 'ntransactions', 33)
('adress', 'ANG MO KIO AVE 3 132', 'lease_commence_date', '1979', 'ntransactions', 35)
('adress', 'ANG MO KIO AVE 3 133', 'lease_commence_date', '1979', 'ntransactions', 10)
('adress', 'ANG MO KIO AVE 3 134', 'lease_commence_date', '1978', 'ntransactions', 52)
('adress', 'ANG MO KIO AVE 3 201', 'lease_commence_date', '1977', 'ntransactions', 64)
('adress', 'ANG MO KIO AVE 3 202', 'lease_commence_date', '1977', 'ntransactions', 82)
('adress', 'ANG MO KIO AVE 3 204', 'lease_commence_date', '1977', 'ntransactions', 30)
('adress', 'ANG MO KIO AVE 3 209', 'lease_commence_date', '1977', 'ntransactions', 37)
('adress', 'ANG MO KIO AVE 3 210', 'lease_commence_date', '1977', 'ntransactions', 41)
('adress', 'ANG MO KIO AVE 3 211', 'lease_commence_date', '1977', 'ntransactions', 118)
